track_id,provenance,second_start,second_end,rms_mean_dbfs,rms_peak_dbfs,spectral_centroid_hz,low_20_180_ratio,low_mid_180_2000_ratio,high_2000_10000_ratio,relative_dynamics_band
001,official main,152,153,-18.08,-6.05,1064.8,0.7739,0.2254,0.0006,mp
001,official main,153,154,-18.06,-6.15,1246.8,0.8372,0.1603,0.0023,mp
001,official main,154,155,-18.23,-5.68,1218.1,0.7754,0.2232,0.0006,mp
001,official main,155,156,-18.19,-7.6,1126.1,0.5153,0.4833,0.0009,mp
001,official main,156,157,-14.45,-4.47,951.2,0.8874,0.112,0.0005,mf
001,official main,157,158,-17.91,-5.87,878.8,0.904,0.0956,0.0002,mp
001,official main,158,159,-22.12,-12.12,1457.3,0.3227,0.674,0.0032,p
001,official main,159,160,-18.23,-7.19,983.0,0.8717,0.1275,0.0007,mp
001,official main,160,161,-18.04,-5.69,939.5,0.9151,0.0847,0.0002,mp
001,official main,161,162,-15.9,-5.44,1041.3,0.6818,0.3174,0.0004,mf
001,official main,162,163,-16.46,-7.65,874.9,0.8034,0.1959,0.0004,mp
001,official main,163,164,-17.65,-5.65,1062.7,0.8259,0.1733,0.0006,mp
001,official main,164,165,-17.66,-4.83,968.2,0.8443,0.1554,0.0001,mp
001,official main,165,166,-18.97,-5.51,1255.1,0.8023,0.1966,0.0006,p
001,official main,166,167,-24.14,-11.82,1666.4,0.8409,0.1561,0.0021,pp
001,official main,167,168,-14.99,-6.63,916.8,0.9532,0.0464,0.0003,mf
001,official main,168,169,-17.91,-8.54,845.8,0.9474,0.0522,0.0002,mp
001,official main,169,170,-20.45,-5.6,1387.8,0.6552,0.3404,0.001,p
001,official main,170,171,-18.88,-7.35,1173.1,0.9573,0.0403,0.0007,p
001,official main,171,172,-18.5,-5.61,1226.3,0.9605,0.0389,0.0005,p
001,official main,172,173,-15.95,-6.13,855.5,0.7295,0.2698,0.0001,mf
001,official main,173,174,-17.55,-8.8,884.9,0.8326,0.1662,0.0005,mp
001,official main,174,175,-17.88,-6.27,868.4,0.8082,0.1913,0.0004,mp
001,official main,175,176,-17.18,-5.48,757.2,0.689,0.3108,0.0001,mp
001,official main,176,177,-17.75,-5.89,1169.2,0.8537,0.1456,0.0006,mp
001,official main,177,178,-21.41,-10.2,1345.6,0.7119,0.2868,0.0011,p
001,official main,178,179,-15.58,-7.1,758.6,0.9553,0.0442,0.0003,mf
001,official main,179,180,-18.07,-7.31,799.4,0.8772,0.1224,0.0002,mp
001,official main,180,181,-18.24,-5.65,1235.5,0.884,0.1151,0.0006,mp
001,official main,181,182,-20.35,-8.94,1335.6,0.9336,0.0649,0.0012,p
001,official main,182,183,-17.35,-5.32,1121.1,0.9274,0.0721,0.0004,mp
001,official main,183,184,-16.44,-6.76,864.4,0.9238,0.0759,0.0001,mp
001,official main,184,185,-18.39,-7.65,1060.3,0.9224,0.0764,0.001,mp
001,official main,185,186,-18.66,-8.44,1069.8,0.8286,0.1704,0.0009,p
001,official main,186,187,-17.12,-5.49,1085.1,0.8397,0.1598,0.0004,mp
001,official main,187,188,-17.61,-5.93,931.8,0.8382,0.1614,0.0001,mp
001,official main,188,189,-24.8,-14.16,1670.1,0.8409,0.1555,0.0024,pp
001,official main,189,190,-15.42,-6.66,748.0,0.9773,0.0223,0.0003,mf
001,official main,190,191,-18.25,-6.46,770.5,0.9013,0.0984,0.0001,mp
001,official main,191,192,-19.27,-5.97,1228.8,0.6272,0.3714,0.0008,p
001,official main,192,193,-22.13,-10.87,1707.0,0.9351,0.0603,0.0037,p
001,official main,193,194,-17.33,-4.9,1251.3,0.9689,0.0305,0.0005,mp
001,official main,194,195,-16.62,-5.85,1331.5,0.9854,0.0141,0.0001,mp
001,official main,195,196,-18.22,-7.03,1021.0,0.9478,0.0507,0.0004,mp
001,official main,196,197,-20.34,-11.1,1264.8,0.9428,0.0553,0.0013,p
001,official main,197,198,-17.12,-5.84,1242.2,0.9279,0.0715,0.0005,mp
001,official main,198,199,-18.16,-4.77,1078.4,0.8247,0.1749,0.0002,mp
001,official main,199,200,-22.49,-9.68,1476.6,0.5675,0.4306,0.0016,pp
001,official main,200,201,-14.88,-5.57,758.1,0.9287,0.0709,0.0002,mf
001,official main,201,202,-18.41,-6.25,816.7,0.926,0.0737,0.0001,p
001,official main,202,203,-18.12,-6.41,1246.0,0.6652,0.3336,0.0008,mp
001,official main,203,204,-19.95,-9.23,1247.2,0.6057,0.3922,0.0012,p
001,official main,204,205,-17.77,-6.23,1069.3,0.9122,0.0873,0.0004,mp
001,official main,205,206,-16.5,-4.61,1080.5,0.8849,0.1146,0.0001,mp
001,official main,206,207,-18.62,-6.36,1116.8,0.8967,0.1012,0.0008,p
001,official main,207,208,-18.9,-6.04,1128.2,0.9003,0.0985,0.0006,p
001,official main,208,209,-17.86,-5.86,1302.4,0.9275,0.0703,0.0021,mp
001,official main,209,210,-19.59,-5.97,1471.9,0.8775,0.1214,0.0007,p
001,official main,210,211,-23.12,-12.65,1576.3,0.5716,0.4253,0.0023,pp
001,official main,211,212,-18.2,-8.42,1171.8,0.8951,0.104,0.0008,mp
001,official main,212,213,-18.08,-5.86,1206.3,0.9143,0.0853,0.0002,mp
001,official main,213,214,-20.93,-5.42,1882.6,0.5631,0.4338,0.0027,p
001,official main,214,215,-19.3,-6.72,1404.4,0.9684,0.0235,0.0079,p
001,official main,215,216,-37.57,-27.22,1942.5,0.9897,0.0051,0.0034,pp
001,official main,216,217,-49.29,-37.33,1656.7,0.9304,0.0051,0.0027,pp
001,official main,217,218,-58.71,-58.27,558.7,0.0022,0.0002,0.0,pp
001,official main,218,219,-58.55,-58.35,538.8,0.0027,0.0002,0.0,pp
001,official main,219,220,-58.58,-58.27,546.0,0.0026,0.0002,0.0,pp
001,official main,220,221,-58.57,-58.29,545.1,0.0027,0.0002,0.0,pp
001,official main,221,222,-58.55,-58.33,539.3,0.0027,0.0002,0.0,pp
001,official main,222,222.4,-58.58,-58.29,596.0,0.006,0.0004,0.0001,pp
