track_id,provenance,second_start,second_end,rms_mean_dbfs,rms_peak_dbfs,spectral_centroid_hz,low_20_180_ratio,low_mid_180_2000_ratio,high_2000_10000_ratio,relative_dynamics_band
002,provisional stem mix,0,1,-23.35,-10.45,923.7,0.481,0.5189,0.0,pp
002,provisional stem mix,1,2,-22.63,-10.61,595.9,0.4999,0.4995,0.0002,pp
002,provisional stem mix,2,3,-22.23,-6.78,728.5,0.0844,0.9149,0.0006,p
002,provisional stem mix,3,4,-19.04,-8.74,615.7,0.3199,0.6797,0.0003,p
002,provisional stem mix,4,5,-19.35,-7.7,686.4,0.0608,0.9385,0.0006,p
002,provisional stem mix,5,6,-21.63,-8.59,858.6,0.1806,0.8186,0.0006,p
002,provisional stem mix,6,7,-19.38,-6.61,734.0,0.1393,0.8581,0.0025,p
002,provisional stem mix,7,8,-17.77,-7.78,820.5,0.4697,0.5278,0.0024,mp
002,provisional stem mix,8,9,-17.2,-3.99,623.6,0.3574,0.6422,0.0003,mp
002,provisional stem mix,9,10,-16.71,-5.96,618.7,0.1032,0.8966,0.0002,mp
002,provisional stem mix,10,11,-20.91,-8.07,445.3,0.365,0.6348,0.0,p
002,provisional stem mix,11,12,-17.0,-5.03,416.1,0.7515,0.2482,0.0001,mp
002,provisional stem mix,12,13,-15.11,-5.32,719.7,0.3731,0.6259,0.0008,f
002,provisional stem mix,13,14,-18.7,-9.13,616.5,0.8548,0.1448,0.0003,p
002,provisional stem mix,14,15,-16.12,-4.94,592.7,0.3239,0.6756,0.0004,mf
002,provisional stem mix,15,16,-17.65,-6.13,599.6,0.3284,0.6714,0.0002,mp
002,provisional stem mix,16,17,-17.85,-8.04,671.6,0.2174,0.7823,0.0001,mp
002,provisional stem mix,17,18,-19.11,-9.52,537.1,0.2461,0.7536,0.0001,p
002,provisional stem mix,18,19,-15.98,-6.52,454.5,0.927,0.0728,0.0001,mf
002,provisional stem mix,19,20,-16.48,-6.95,368.0,0.8904,0.1094,0.0,mp
002,provisional stem mix,20,21,-16.06,-5.09,520.2,0.3026,0.6967,0.0004,mf
002,provisional stem mix,21,22,-17.68,-5.44,499.2,0.4212,0.5784,0.0002,mp
002,provisional stem mix,22,23,-17.4,-7.0,385.9,0.5772,0.4227,0.0,mp
002,provisional stem mix,23,24,-15.61,-3.83,558.5,0.467,0.5314,0.0016,mf
002,provisional stem mix,24,25,-15.93,-5.38,731.7,0.2359,0.7626,0.0015,mf
002,provisional stem mix,25,26,-18.23,-8.06,748.1,0.3074,0.6919,0.0006,p
002,provisional stem mix,26,27,-20.01,-8.88,512.9,0.6317,0.3681,0.0001,p
002,provisional stem mix,27,28,-20.72,-8.86,703.8,0.3509,0.6485,0.0002,p
002,provisional stem mix,28,29,-18.53,-3.86,674.2,0.194,0.8047,0.0012,p
002,provisional stem mix,29,30,-15.26,-4.51,573.1,0.5217,0.4778,0.0005,mf
002,provisional stem mix,30,31,-18.68,-7.8,554.4,0.6344,0.3654,0.0001,p
002,provisional stem mix,31,32,-19.31,-8.71,737.8,0.3811,0.6178,0.0009,p
002,provisional stem mix,32,33,-16.91,-5.24,597.8,0.7221,0.2771,0.0006,mp
002,provisional stem mix,33,34,-17.63,-5.24,344.1,0.7997,0.2,0.0,mp
002,provisional stem mix,34,35,-17.13,-6.4,762.8,0.2772,0.7211,0.0012,mp
002,provisional stem mix,35,36,-16.22,-6.09,539.5,0.7215,0.278,0.0002,mf
002,provisional stem mix,36,37,-18.45,-8.29,635.7,0.6673,0.3323,0.0003,p
002,provisional stem mix,37,38,-16.16,-5.19,831.4,0.5451,0.4538,0.0008,mf
002,provisional stem mix,38,39,-21.42,-7.65,908.7,0.303,0.695,0.0011,p
002,provisional stem mix,39,40,-19.48,-7.65,884.5,0.3024,0.697,0.0006,p
002,provisional stem mix,40,41,-15.95,-5.43,465.2,0.819,0.1807,0.0,mf
002,provisional stem mix,41,42,-16.19,-5.45,485.0,0.6332,0.3663,0.0001,mf
002,provisional stem mix,42,43,-16.87,-7.64,510.7,0.6868,0.3128,0.0003,mp
002,provisional stem mix,43,44,-14.98,-4.09,646.8,0.2461,0.7531,0.0007,f
002,provisional stem mix,44,45,-15.95,-4.49,688.1,0.1885,0.811,0.0005,mf
002,provisional stem mix,45,46,-18.11,-4.8,673.1,0.2885,0.7102,0.0011,mp
002,provisional stem mix,46,47,-14.8,-3.69,649.1,0.634,0.3649,0.0007,f
002,provisional stem mix,47,48,-16.05,-5.41,640.0,0.5877,0.4119,0.0002,mf
002,provisional stem mix,48,49,-17.72,-6.42,766.8,0.3609,0.6386,0.0004,mp
002,provisional stem mix,49,50,-16.3,-5.74,579.6,0.4627,0.537,0.0002,mp
002,provisional stem mix,50,51,-18.2,-7.19,412.9,0.4722,0.5276,0.0,mp
002,provisional stem mix,51,52,-13.19,-3.06,622.9,0.1733,0.8253,0.001,f
