label,reproduction_score,focus_rms_dbfs,focus_low_ratio,focus_low_mid_ratio,focus_centroid_hz,focus_side_to_mid_db,signal_start_seconds,trajectory_distance
MASTER-001,100.0,-22.64,0.9668,0.0304,113.7,-32.4,0.4,0.0
SELF-CHECK,100.0,-22.64,0.9668,0.0304,113.7,-32.4,0.4,0.0
