label,reproduction_score,focus_rms_dbfs,focus_low_ratio,focus_low_mid_ratio,focus_centroid_hz,focus_side_to_mid_db,signal_start_seconds,trajectory_distance
MASTER-002,100.0,-20.31,0.1898,0.8097,477.9,-7.19,0.2,0.0
SELF-CHECK,100.0,-20.31,0.1898,0.8097,477.9,-7.19,0.2,0.0
