start_seconds,end_seconds,rms_dbfs,peak_dbfs,low_20_180_hz,low_mid_180_2000_hz,high_2000_10000_hz
0.0,0.05,-58.438520365798055,-57.53921356010161,0.19973133166452936,1.0889677627943305e-05,2.328958808915785e-05
0.05,0.1,-58.574634016809064,-58.37705678666516,0.20051364999841012,8.213246124011853e-06,2.882690827939052e-05
0.1,0.15,-58.57403657934347,-58.26779887263511,0.200572939365317,1.0788276016237871e-05,2.5583668861486293e-05
0.15,0.2,-58.59654800574995,-58.26779887263511,0.20075053597205855,8.285988092035643e-06,2.5003739577596414e-05
0.2,0.25,-58.629007617064104,-58.37705678666516,0.20049828873428585,9.236870193611068e-06,2.1432575596795203e-05
0.25,0.3,-58.72407460772531,-58.48770655866438,0.20016152046506963,1.0283937526916716e-05,2.847414105474103e-05
0.3,0.35,-58.96782952330937,-58.59978410902435,0.20027769540319848,1.37996584112064e-05,2.4667448110871055e-05
0.35,0.4,-60.47590136307346,-58.59978410902435,0.20584349179370853,0.00011370233264907117,6.710366866052168e-05
0.4,0.45,-44.629666208526935,-36.51394477641122,0.9927798156045865,0.005183486191315951,0.00040656285692277684
0.45,0.5,-17.0736551151182,-9.730663467669217,0.9766882995795938,0.022363104773105217,2.3201630570323418e-05
0.5,0.55,-16.33251363107981,-10.504886395498225,0.9778692823454599,0.022014460506468884,6.489979717411268e-05
0.55,0.6,-17.41242342428152,-12.536985458630872,0.9747925908142491,0.02489573388663758,3.933621521771197e-05
0.6,0.65,-19.025743195684907,-14.843511732445283,0.9671027905982081,0.03268260698276221,3.3817047850210697e-05
0.65,0.7,-20.118333931615055,-15.393454341399178,0.9767970747365372,0.023147518492709452,3.9469089318027886e-05
0.7,0.75,-21.98073643872876,-17.067069790835887,0.9656220622055466,0.034196029752300953,7.287626349050932e-05
0.75,0.8,-23.686884390034653,-17.72284589771938,0.9303454489597847,0.06944010007517142,0.00013515768207763014
0.8,0.85,-25.57250152568606,-19.45373464595573,0.9055419295823873,0.09407911081349851,0.00024812257679209464
0.85,0.9,-26.55483397729189,-20.215504523796692,0.8930392524842019,0.1064698396300021,0.0003174582409013387
0.9,0.95,-28.170907420904918,-21.446869564449038,0.9020506163121803,0.0972704010300222,0.0004225157683836915
0.95,1.0,-30.438580287084783,-23.378027528224877,0.8906254635629232,0.10830290080316947,0.0007819940828625576
1.0,1.05,-32.68156057535254,-25.702575320812787,0.7598216536120782,0.2359814034176551,0.003573985019943733
1.05,1.1,-33.69204258608657,-25.83648436531844,0.6055791214644167,0.3828093763287981,0.010590535780530753
1.1,1.15,-33.988813142687924,-21.291704851599036,0.3405091680233037,0.24491128262001874,0.2453351579037145
1.15,1.2,-37.617644932891345,-26.164392502227294,0.44206975961404193,0.4441310163366497,0.06999766973554371
1.2,1.25,-40.332252212173344,-32.47267630869715,0.39250892333141923,0.5822081140279344,0.021616746311152603
1.25,1.3,-40.86466104919333,-31.588782784890167,0.553983211467027,0.4326566460948036,0.011368433971154541
1.3,1.35,-41.001423162116,-33.78750264517783,0.36769899112931054,0.615734965334315,0.014162743297323182
1.35,1.4,-42.285352915199795,-33.500603144464634,0.3772091241037239,0.6095570747500372,0.009972444741889117
1.4,1.45,-42.139114942369844,-33.878728131098896,0.1469495022734443,0.8346654895979557,0.015155153078042901
1.45,1.5,-43.04214319275387,-34.33598579028898,0.4161072387461827,0.5605616849941062,0.018033591164544043
1.5,1.55,-47.45402313329115,-38.13847802765048,0.7764524230368324,0.14922888227910305,0.05815779428573007
1.55,1.6,-43.75837790653692,-31.82341297795673,0.7065845196487676,0.0444466861299052,0.19850691543604235
1.6,1.65,-46.542235751802245,-34.024046784555956,0.6519792565003536,0.06414053902840486,0.2186690946483416
1.65,1.7,-50.33429910627355,-39.146832666583364,0.5298174079501077,0.10158352845268988,0.23313206288424967
1.7,1.75,-43.51574356140123,-35.59702070523076,0.9546119374175421,0.015234596966846982,0.026665915597098296
1.75,1.8,-36.87129832092275,-29.44961723133076,0.9435767072256989,0.03974999612968733,0.014374444946509433
1.8,1.85,-16.838213184330048,-8.976890216663765,0.98429827268632,0.015549975791415734,9.499346967540022e-05
1.85,1.9,-13.890046544973352,-8.520081533717676,0.9984407947645358,0.0015379066018860773,1.5976805164406103e-05
1.9,1.95,-15.480092775340015,-9.734321112207654,0.9985797255451092,0.001292134138571765,2.143371877592941e-05
1.95,2.0,-16.133922292532702,-10.928139353078093,0.9982284175367672,0.0015998712465632454,2.658586707891166e-05
