label,duration_seconds,global_rms_dbfs,crest_factor_db,intro_rms_dbfs,intro_low_ratio,intro_low_mid_ratio,first_sustained_signal_seconds,intro_low_dominant_window_share,intro_stereo_side_to_mid_db
MASTER-001,222.399979,-16.82,14.32,-22.64,0.9804,0.018,0.4,0.45,-42.68
CAND-004,180.400167,-16.3,14.94,-15.13,0.5732,0.4251,0.0,0.15,-9.61
CAND-005,180.680167,-15.86,14.73,-15.62,0.6356,0.3632,0.0,0.275,-8.12
